STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACMH,ACSH,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDFG,WESD,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/25/1990,100,100,13.65,1403,0,0,0,,52,45,0,225,,24.2,,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/26/1990,70,70,9.17,2237,0,0,0,,60,46,481,225,,19.5,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/27/1990,70,90,10.29,1702,0,0,0,,92,50,665,270,,19.5,1,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/28/1990,50,30,14.32,,0,0,0,,90,47,593,45,,32.2,1,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/29/1990,100,100,17.22,8,0.04,0,0,,47,43,0,45,,31.1,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/30/1990,100,100,12.3,841,0.93,0,0,,48,44,0,45,,24.2,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/1/1990,100,100,9.4,1353,0.03,0,0,,60,45,109,90,,19.5,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/2/1990,90,90,14.09,747,0,0,0,,68,50,645,315,,27.5,1,1,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/3/1990,50,30,13.2,1520,0,0,0,,58,47,710,135,,25.3,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/4/1990,70,60,12.75,1416,0.11,0,0,,66,45,624,180,,27.5,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/5/1990,100,100,16.78,348,0.61,0,0,,47,42,0,90,,35.6,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/6/1990,70,80,12.53,1124,0,0,0,,61,42,409,315,,23,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/7/1990,100,100,11.63,1910,0.01,0,0,,58,48,118,270,,24.2,,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/8/1990,70,80,11.63,2041,0,0,0,,57,47,246,180,,23,,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/9/1990,90,80,13.87,1256,0,0,0,,81,48,532,180,,33.3,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/10/1990,100,100,21.03,1458,0.78,0,0,,75,57,269,180,,46.1,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/11/1990,60,70,19.91,1632,0,0,0,,64,47,478,270,,43.6,,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/12/1990,50,40,14.99,1759,0,0,0,,67,45,757,180,,30,,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/13/1990,100,100,15.66,1655,0.3,0,0,,66,49,20,180,,35.6,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/14/1990,40,30,14.09,1142,0.44,0,0,,68,49,666,45,,35.6,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/15/1990,60,40,14.32,1606,0,0,0,,78,54,722,225,,31.1,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/16/1990,100,100,12.53,16,0.93,0,0,,62,51,1,225,,23,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/17/1990,100,100,16.11,1536,0.44,0,0,,53,46,0,90,,28.9,1,1,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/18/1990,90,90,10.29,2325,0.12,0,0,,57,45,205,270,,20.8,1,,1,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,5/19/1990,90,90,14.99,641,0,0,0,,62,51,306,270,,32.2,,,,,,,,,,,,,,,,,,,,
