lat,long,og
42.2988679,-71.3313366,"(42.2988679, -71.3313366)"
42.2992806,-71.3309448,"(42.2992806, -71.3309448)"
42.2593148,-71.3333316,"(42.2593148, -71.3333316)"
42.2623359,-71.333146,"(42.2623359, -71.333146)"
42.2623359,-71.333146,"(42.2623359, -71.333146)"
42.262915,-71.33276699999999,"(42.262915, -71.33276699999999)"
42.2642508,-71.3343522,"(42.2642508, -71.3343522)"
42.2632902,-71.33528009999999,"(42.2632902, -71.33528009999999)"
42.2646851,-71.3355243,"(42.2646851, -71.3355243)"
42.2708317,-71.3167015,"(42.2708317, -71.3167015)"
42.2709649,-71.31718579999999,"(42.2709649, -71.31718579999999)"
42.2670403,-71.32449319999999,"(42.2670403, -71.32449319999999)"
42.2586945,-71.3349554,"(42.2586945, -71.3349554)"
42.2569212,-71.33769269999999,"(42.2569212, -71.33769269999999)"
42.2566893,-71.3385278,"(42.2566893, -71.3385278)"
42.2566893,-71.3385278,"(42.2566893, -71.3385278)"
42.2566893,-71.3385278,"(42.2566893, -71.3385278)"
42.2566893,-71.3385278,"(42.2566893, -71.3385278)"
42.2822711,-71.3530025,"(42.2822711, -71.3530025)"
42.2821595,-71.3530025,"(42.2821595, -71.3530025)"
42.2821595,-71.3530025,"(42.2821595, -71.3530025)"
42.28967799999999,-71.3969336,"(42.28967799999999, -71.3969336)"
42.2894043,-71.39507809999999,"(42.2894043, -71.39507809999999)"
42.2894043,-71.39507809999999,"(42.2894043, -71.39507809999999)"
42.2885701,-71.3949853,"(42.2885701, -71.3949853)"
42.2879969,-71.3960058,"(42.2879969, -71.3960058)"
42.3064883,-71.35035069999999,"(42.3064883, -71.35035069999999)"
42.3068991,-71.3472498,"(42.3068991, -71.3472498)"
42.3068991,-71.3472498,"(42.3068991, -71.3472498)"
42.2711113,-71.3798628,"(42.2711113, -71.3798628)"
42.2715251,-71.3794453,"(42.2715251, -71.3794453)"
42.3069162,-71.3384107,"(42.3069162, -71.3384107)"
42.307325,-71.3369503,"(42.307325, -71.3369503)"
42.2584138,-71.337509,"(42.2584138, -71.337509)"
42.2574607,-71.3391309,"(42.2574607, -71.3391309)"
42.2574607,-71.3391309,"(42.2574607, -71.3391309)"
42.3081024,-71.3665953,"(42.3081024, -71.3665953)"
42.30825069999999,-71.3660514,"(42.30825069999999, -71.3660514)"
42.3071215,-71.36872919999999,"(42.3071215, -71.36872919999999)"
42.3071215,-71.36872919999999,"(42.3071215, -71.36872919999999)"
42.2741765,-71.3684045,"(42.2741765, -71.3684045)"
42.2741765,-71.3684045,"(42.2741765, -71.3684045)"
42.2739948,-71.367987,"(42.2739948, -71.367987)"
42.2739948,-71.367987,"(42.2739948, -71.367987)"
42.2714126,-71.32205739999999,"(42.2714126, -71.32205739999999)"
42.2736756,-71.34719179999999,"(42.2736756, -71.34719179999999)"
42.2734199,-71.3468322,"(42.2734199, -71.3468322)"
42.2734199,-71.3468322,"(42.2734199, -71.3468322)"
42.2732355,-71.34706419999999,"(42.2732355, -71.34706419999999)"
42.2729059,-71.3477601,"(42.2729059, -71.3477601)"
42.2729059,-71.3477601,"(42.2729059, -71.3477601)"
42.2729059,-71.3477601,"(42.2729059, -71.3477601)"
42.2729059,-71.3477601,"(42.2729059, -71.3477601)"
42.2722586,-71.3487808,"(42.2722586, -71.3487808)"
42.2711828,-71.3492447,"(42.2711828, -71.3492447)"
42.2711828,-71.3492447,"(42.2711828, -71.3492447)"
42.2711828,-71.3492447,"(42.2711828, -71.3492447)"
42.2711828,-71.3492447,"(42.2711828, -71.3492447)"
42.2711828,-71.3492447,"(42.2711828, -71.3492447)"
42.2711828,-71.3492447,"(42.2711828, -71.3492447)"
42.2711828,-71.3492447,"(42.2711828, -71.3492447)"
42.2711828,-71.3492447,"(42.2711828, -71.3492447)"
42.2711828,-71.3492447,"(42.2711828, -71.3492447)"
42.3036128,-71.3641133,"(42.3036128, -71.3641133)"
42.3036128,-71.3641133,"(42.3036128, -71.3641133)"
42.3105305,-71.3591263,"(42.3105305, -71.3591263)"
42.3105305,-71.3591263,"(42.3105305, -71.3591263)"
42.3111822,-71.3571372,"(42.3111822, -71.3571372)"
42.31107919999999,-71.3559716,"(42.31107919999999, -71.3559716)"
42.3133276,-71.35430149999999,"(42.3133276, -71.35430149999999)"
42.3133276,-71.35430149999999,"(42.3133276, -71.35430149999999)"
42.3130524,-71.3533273,"(42.3130524, -71.3533273)"
42.31419810000001,-71.3523994,"(42.31419810000001, -71.3523994)"
42.2736245,-71.3733219,"(42.2736245, -71.3733219)"
42.2931327,-71.3665025,"(42.2931327, -71.3665025)"
42.2929956,-71.36607339999999,"(42.2929956, -71.36607339999999)"
42.2936401,-71.358696,"(42.2936401, -71.358696)"
42.2936401,-71.358696,"(42.2936401, -71.358696)"
42.2936401,-71.358696,"(42.2936401, -71.358696)"
